d.distance,t1.username,t1.nickname,t2.username,t2.nickname
178,ZPR,ZPRSoho,Beep!Beep!,BeepBeepTraffic
463,ZPR,ZPRSoho,Annette,annetteand2dogs
1,ZPR,ZPRSoho,Dollie Henry,DollieHenry
291,ZPR,ZPRSoho,Cleo Bannister,cleo_bannister
261,ZPR,ZPRSoho,Quintiles Careers,QuintilesCareer
465,ZPR,ZPRSoho,Rojas Wilmer,wart_dev
1,ZPR,ZPRSoho,TubeMogul,TubeMogul
286,ZPR,ZPRSoho,Sheila Murray-Forde,sheilanne88
17,ZPR,ZPRSoho,Pickwick Papers,PickwickFabrics
499,ZPR,ZPRSoho,Kilkenny Met,Kilkenny_Met
21,ZPR,ZPRSoho,Joe Rogers,realjoerogers
162,ZPR,ZPRSoho,Heacham Weather,heachamweather
473,ZPR,ZPRSoho,Emmet,ODOWDemmet
1,ZPR,ZPRSoho,Veerle Evens,VeePhotography_
17,ZPR,ZPRSoho,Stigmabase | ORG,Pairsonnalites
17,ZPR,ZPRSoho,Stigmabase | UN,PairsonnalitesU
224,ZPR,ZPRSoho,Virtual Jukebox,VirtualJukebox
515,ZPR,ZPRSoho,Scott M.,scottymooo
703,ZPR,ZPRSoho,Renvyle Weather,renvyleweather
110,ZPR,ZPRSoho,Neil Tassell,thanetweather
303,ZPR,ZPRSoho,Polka Pops,Polkapops
34,ZPR,ZPRSoho,Hugh Johnson,WeatherWoking
559,ZPR,ZPRSoho,UWS Weather,UWS_Weather
73,ZPR,ZPRSoho,Lisa Sargent,Weather_SS17
84,ZPR,ZPRSoho,Bob Warner,g1saa
554,ZPR,ZPRSoho,Agnes Jones,Agnesmjones
541,ZPR,ZPRSoho,Jim.,jamiekrisM
874,ZPR,ZPRSoho,SandayWeather,SandayWeather
631,ZPR,ZPRSoho,Ballyhaunis Weather,BallyhaunisWX
5,ZPR,ZPRSoho,GT,GT______
117,ZPR,ZPRSoho,Hepworth Weather,HepworthWeather
263,ZPR,ZPRSoho,Quarmby weather,quarmbyweather
418,ZPR,ZPRSoho,Brampton Weather,bramptonweather
33,ZPR,ZPRSoho,Seer Green Weather,sgweather1
97,ZPR,ZPRSoho,Clacton Weather,Clacton_Weather
235,ZPR,ZPRSoho,Pen-Y-Renglyn,PenYRenglyn
500,ZPR,ZPRSoho,Marek Dzierżak,dzierzakm
280,ZPR,ZPRSoho,Brogues & Braces,BroguesnBraces
261,ZPR,ZPRSoho,TMJ-GBR Advert. Jobs,tmj_GBR_ADV
532,ZPR,ZPRSoho,Steven Leonardus,SLeonardus
210,ZPR,ZPRSoho,SAWSA,SAWSA_
548,ZPR,ZPRSoho,Tanquility,tanquility1
261,ZPR,ZPRSoho,Manit Sethi,Manit_Sethi
1,ZPR,ZPRSoho,AMCK DANCE,AMCKDance
1,ZPR,ZPRSoho,Farrah Mills,farrahmills
6,ZPR,ZPRSoho,Will Dennehy,willphoto1
3,ZPR,ZPRSoho,Oscar López Cuesta,OLopezCuesta
615,ZPR,ZPRSoho,MELLY,mellymeliyanaa
161,ZPR,ZPRSoho,jamie brannon,jamiebrannon10
401,ZPR,ZPRSoho,Mark Drummond,Commando_Mark
1,ZPR,ZPRSoho,suraj,jarusnardnivar
10,ZPR,ZPRSoho,Kris Van Laethem,krisvanlaethem
235,ZPR,ZPRSoho,Pen-Y-Renglyn,PenYRenglyn
251,ZPR,ZPRSoho,Henry Webster,henry_webster
117,ZPR,ZPRSoho,TMJ-GBR Pharm. Jobs,tmj_GBR_pharm
162,ZPR,ZPRSoho,Elwood Day Centre,ElwoodB23
386,ZPR,ZPRSoho,twat face,astr0nautsndALL
1,ZPR,ZPRSoho,gerri gallagher,GallagherGerri
260,ZPR,ZPRSoho,Gypsum Fantastic,GypsumFantastic
61,ZPR,ZPRSoho,Guillaume Spurling,guigling
642,ZPR,ZPRSoho,NSRI,NSRI_Subsea
162,ZPR,ZPRSoho,Iwai Simon,djmisteri1
175,ZPR,ZPRSoho,paulstif,hunterharrier
2,ZPR,ZPRSoho,Laura Kishimoto,chicgeek
